hosts,bf,depth,filter_round,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
15,2,3,80,10,32,0.002731,0.002731,0.002731,0.002731,NaN,0.013183,0.013183,0.013183,0.013183,NaN,2.415189,2.415189,2.415189,2.415189,NaN,6184.000000,6184.000000,6184.000000,6184.000000,NaN,6756.000000,6756.000000,6756.000000,6756.000000,NaN,12160.000000,12160.000000,12160.000000,12160.000000,NaN,10600.000000,10600.000000,10600.000000,10600.000000,NaN,0.000000,0.005131,0.001242,0.012416,0.001913,0.034335,0.047655,0.041889,0.418892,0.003869,1.305447,1.317403,1.312037,13.120366,0.004372
40,3,3,80,10,32,0.000000,0.000000,0.000000,0.000000,NaN,0.016681,0.016681,0.016681,0.016681,NaN,2.013414,2.013414,2.013414,2.013414,NaN,5860.000000,5860.000000,5860.000000,5860.000000,NaN,6196.000000,6196.000000,6196.000000,6196.000000,NaN,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.000000,0.013162,0.002223,0.022229,0.004263,0.044047,0.075016,0.055978,0.559783,0.009070,1.313610,1.325957,1.316782,13.167822,0.003585
85,4,3,80,10,32,0.007736,0.007736,0.007736,0.007736,NaN,0.019553,0.019553,0.019553,0.019553,NaN,2.012539,2.012539,2.012539,2.012539,NaN,5860.000000,5861.000000,5860.500000,11721.000000,0.707107,6196.000000,6196.000000,6196.000000,12392.000000,0.000000,24320.000000,24320.000000,24320.000000,24320.000000,NaN,21200.000000,21200.000000,21200.000000,21200.000000,NaN,0.000000,0.008648,0.001780,0.017798,0.002848,0.064114,0.085898,0.073851,0.738514,0.007885,1.319500,1.328090,1.323312,13.233121,0.002773
259,6,3,80,10,32,0.033877,0.033877,0.033877,0.033877,NaN,0.075194,0.075194,0.075194,0.075194,NaN,2.020150,2.020150,2.020150,2.020150,NaN,5860.000000,43030.000000,10507.000000,84056.000000,13141.276487,6196.000000,43458.000000,10853.750000,86830.000000,13174.106440,36480.000000,36480.000000,36480.000000,36480.000000,NaN,31800.000000,31800.000000,31800.000000,31800.000000,NaN,0.000000,0.037977,0.008022,0.080224,0.013132,0.198453,0.281796,0.244385,2.443847,0.028367,1.336012,1.349257,1.342333,13.423334,0.003995
585,8,3,80,10,32,0.020966,0.020966,0.020966,0.020966,NaN,0.232658,0.232658,0.232658,0.232658,NaN,3.415250,3.415250,3.415250,3.415250,NaN,5860.000000,55428.000000,25574.238636,2250533.000000,24397.543256,6196.000000,55652.000000,27062.205128,2110852.000000,24524.929711,48640.000000,48640.000000,48640.000000,48640.000000,NaN,42400.000000,42400.000000,42400.000000,42400.000000,NaN,0.004262,0.074264,0.027012,0.270124,0.021478,0.478781,0.652552,0.551968,5.519681,0.057062,1.378347,1.397386,1.387962,13.879621,0.007290
1111,10,3,80,10,32,0.118257,0.118257,0.118257,0.118257,NaN,0.509610,0.509610,0.509610,0.509610,NaN,2.618911,2.618911,2.618911,2.618911,NaN,5860.000000,67820.000000,18569.410256,724207.000000,25344.008326,6196.000000,67846.000000,18842.153846,734844.000000,25219.404039,60800.000000,60800.000000,60800.000000,60800.000000,NaN,53000.000000,53000.000000,53000.000000,53000.000000,NaN,0.020445,0.140790,0.078476,0.784765,0.037910,0.797805,1.198374,1.065046,10.650456,0.119831,1.436678,1.455578,1.447308,14.473083,0.006182
1885,12,3,80,10,32,0.120588,0.120588,0.120588,0.120588,NaN,0.950629,0.950629,0.950629,0.950629,NaN,2.623432,2.623432,2.623432,2.623432,NaN,5860.000000,80213.000000,56634.573171,4644035.000000,34809.366736,6196.000000,80040.000000,55739.890411,4069012.000000,34913.768465,72960.000000,72960.000000,72960.000000,72960.000000,NaN,63600.000000,63600.000000,63600.000000,63600.000000,NaN,0.058332,0.205985,0.124961,1.249609,0.056746,1.816664,2.024057,1.929007,19.290072,0.061976,1.508848,1.529538,1.522095,15.220948,0.006676
2955,14,3,80,10,32,0.161150,0.161150,0.161150,0.161150,NaN,1.466911,1.466911,1.466911,1.466911,NaN,2.645404,2.645404,2.645404,2.645404,NaN,5860.000000,92605.000000,74857.681818,6587476.000000,35188.236234,6196.000000,92234.000000,76870.071429,6457086.000000,33149.867136,85120.000000,85120.000000,85120.000000,85120.000000,NaN,74200.000000,74200.000000,74200.000000,74200.000000,NaN,0.104166,0.276039,0.159167,1.591667,0.049487,2.654768,3.139283,2.958055,29.580553,0.130961,1.617220,1.645839,1.625761,16.257608,0.007698
4369,16,3,80,10,32,0.159132,0.159132,0.159132,0.159132,NaN,1.994622,1.994622,1.994622,1.994622,NaN,2.679084,2.679084,2.679084,2.679084,NaN,5860.000000,104996.000000,56053.037975,4428190.000000,49877.606125,6196.000000,104428.000000,56544.153846,4410444.000000,49391.313297,97280.000000,97280.000000,97280.000000,97280.000000,NaN,84800.000000,84800.000000,84800.000000,84800.000000,NaN,0.138161,0.443648,0.232746,2.327465,0.088195,3.998765,4.315624,4.174107,41.741067,0.114992,1.741713,1.778300,1.759118,17.591180,0.011035
8421,20,3,80,10,32,0.523619,0.523619,0.523619,0.523619,NaN,5.021011,5.021011,5.021011,5.021011,NaN,4.029252,4.029252,4.029252,4.029252,NaN,5861.000000,129781.000000,120707.463415,9898012.000000,32467.651375,6196.000000,128816.000000,120955.743590,9434548.000000,30228.394408,121600.000000,121600.000000,121600.000000,121600.000000,NaN,106000.000000,106000.000000,106000.000000,106000.000000,NaN,0.218858,0.488225,0.294922,2.949217,0.078577,7.675366,8.078765,7.918187,79.181871,0.120649,2.083296,2.130703,2.107019,21.070193,0.014139
